0/45500 (epoch 0), train_loss = 11.257, time/batch = 6.570
5000/45500 (epoch 5), train_loss = 5.701, time/batch = 6.464
model saved to save/model.ckpt
5050/45500 (epoch 5), train_loss = 5.828, time/batch = 6.467
5100/45500 (epoch 5), train_loss = 5.567, time/batch = 6.491
5150/45500 (epoch 5), train_loss = 5.814, time/batch = 6.515
5200/45500 (epoch 5), train_loss = 5.674, time/batch = 6.474
5250/45500 (epoch 5), train_loss = 5.528, time/batch = 6.521
5300/45500 (epoch 5), train_loss = 5.749, time/batch = 6.437
5350/45500 (epoch 5), train_loss = 5.650, time/batch = 6.485
5400/45500 (epoch 5), train_loss = 5.552, time/batch = 6.456
5450/45500 (epoch 5), train_loss = 5.333, time/batch = 6.530
5500/45500 (epoch 6), train_loss = 5.495, time/batch = 6.521
5550/45500 (epoch 6), train_loss = 5.603, time/batch = 6.535
5600/45500 (epoch 6), train_loss = 5.460, time/batch = 6.498
5650/45500 (epoch 6), train_loss = 5.688, time/batch = 6.508
5700/45500 (epoch 6), train_loss = 5.492, time/batch = 6.490
5750/45500 (epoch 6), train_loss = 5.533, time/batch = 6.490
5800/45500 (epoch 6), train_loss = 5.608, time/batch = 6.453
5850/45500 (epoch 6), train_loss = 5.445, time/batch = 6.466
5900/45500 (epoch 6), train_loss = 5.398, time/batch = 6.456
5950/45500 (epoch 6), train_loss = 5.447, time/batch = 6.468
6000/45500 (epoch 6), train_loss = 5.245, time/batch = 6.482
model saved to save/model.ckpt
6050/45500 (epoch 6), train_loss = 5.202, time/batch = 6.526
6100/45500 (epoch 6), train_loss = 5.208, time/batch = 6.515
6150/45500 (epoch 6), train_loss = 5.233, time/batch = 6.525
6200/45500 (epoch 6), train_loss = 5.168, time/batch = 6.499
6250/45500 (epoch 6), train_loss = 5.153, time/batch = 6.503
6300/45500 (epoch 6), train_loss = 5.359, time/batch = 6.468
6350/45500 (epoch 6), train_loss = 5.070, time/batch = 6.467
6400/45500 (epoch 7), train_loss = 5.227, time/batch = 6.495
6450/45500 (epoch 7), train_loss = 5.325, time/batch = 6.459
6500/45500 (epoch 7), train_loss = 5.182, time/batch = 6.423
6550/45500 (epoch 7), train_loss = 5.290, time/batch = 6.493
6600/45500 (epoch 7), train_loss = 4.897, time/batch = 6.523
6650/45500 (epoch 7), train_loss = 5.244, time/batch = 6.496
6700/45500 (epoch 7), train_loss = 5.338, time/batch = 6.460
6750/45500 (epoch 7), train_loss = 5.060, time/batch = 6.435
6800/45500 (epoch 7), train_loss = 4.982, time/batch = 6.442
6850/45500 (epoch 7), train_loss = 5.139, time/batch = 6.453
6900/45500 (epoch 7), train_loss = 5.126, time/batch = 6.439
6950/45500 (epoch 7), train_loss = 5.197, time/batch = 6.449
7000/45500 (epoch 7), train_loss = 4.609, time/batch = 6.477
model saved to save/model.ckpt
7050/45500 (epoch 7), train_loss = 5.062, time/batch = 6.453
7100/45500 (epoch 7), train_loss = 5.059, time/batch = 6.464
7150/45500 (epoch 7), train_loss = 5.067, time/batch = 6.485
7200/45500 (epoch 7), train_loss = 4.898, time/batch = 6.520
7250/45500 (epoch 7), train_loss = 5.091, time/batch = 6.700
7300/45500 (epoch 8), train_loss = 5.115, time/batch = 6.449
7350/45500 (epoch 8), train_loss = 5.020, time/batch = 6.472
7400/45500 (epoch 8), train_loss = 4.981, time/batch = 6.492
7450/45500 (epoch 8), train_loss = 4.962, time/batch = 6.453
7500/45500 (epoch 8), train_loss = 4.946, time/batch = 6.442
7550/45500 (epoch 8), train_loss = 4.964, time/batch = 6.485
7600/45500 (epoch 8), train_loss = 4.992, time/batch = 6.440
7650/45500 (epoch 8), train_loss = 4.999, time/batch = 6.499
7700/45500 (epoch 8), train_loss = 4.790, time/batch = 6.470
7750/45500 (epoch 8), train_loss = 4.705, time/batch = 6.487
7800/45500 (epoch 8), train_loss = 4.776, time/batch = 6.494
7850/45500 (epoch 8), train_loss = 4.722, time/batch = 6.495
7900/45500 (epoch 8), train_loss = 4.582, time/batch = 6.479
7950/45500 (epoch 8), train_loss = 4.843, time/batch = 6.498
8000/45500 (epoch 8), train_loss = 4.679, time/batch = 6.499
model saved to save/model.ckpt
8050/45500 (epoch 8), train_loss = 4.918, time/batch = 6.612
8100/45500 (epoch 8), train_loss = 4.796, time/batch = 6.495
8150/45500 (epoch 8), train_loss = 4.735, time/batch = 6.482
8200/45500 (epoch 9), train_loss = 4.552, time/batch = 6.794
8250/45500 (epoch 9), train_loss = 4.664, time/batch = 6.489
8300/45500 (epoch 9), train_loss = 4.766, time/batch = 6.478
8350/45500 (epoch 9), train_loss = 4.405, time/batch = 6.496
8400/45500 (epoch 9), train_loss = 4.705, time/batch = 6.523
8450/45500 (epoch 9), train_loss = 4.777, time/batch = 6.547
8500/45500 (epoch 9), train_loss = 4.484, time/batch = 6.510
8550/45500 (epoch 9), train_loss = 4.589, time/batch = 6.476
8600/45500 (epoch 9), train_loss = 4.731, time/batch = 6.480
8650/45500 (epoch 9), train_loss = 4.340, time/batch = 6.511
8700/45500 (epoch 9), train_loss = 4.828, time/batch = 6.516
8750/45500 (epoch 9), train_loss = 4.617, time/batch = 6.544
8800/45500 (epoch 9), train_loss = 4.563, time/batch = 6.516
8850/45500 (epoch 9), train_loss = 4.366, time/batch = 6.481
8900/45500 (epoch 9), train_loss = 4.614, time/batch = 6.469
8950/45500 (epoch 9), train_loss = 4.394, time/batch = 6.489
9000/45500 (epoch 9), train_loss = 4.472, time/batch = 6.501
model saved to save/model.ckpt
9050/45500 (epoch 9), train_loss = 4.525, time/batch = 6.474
9100/45500 (epoch 10), train_loss = 4.425, time/batch = 6.477
9150/45500 (epoch 10), train_loss = 4.611, time/batch = 6.469
9200/45500 (epoch 10), train_loss = 4.377, time/batch = 6.469
9250/45500 (epoch 10), train_loss = 4.247, time/batch = 6.475
9300/45500 (epoch 10), train_loss = 4.630, time/batch = 6.449
9350/45500 (epoch 10), train_loss = 4.565, time/batch = 6.494
9400/45500 (epoch 10), train_loss = 4.313, time/batch = 6.500
9450/45500 (epoch 10), train_loss = 4.414, time/batch = 6.454
9500/45500 (epoch 10), train_loss = 4.288, time/batch = 6.578
9550/45500 (epoch 10), train_loss = 4.337, time/batch = 6.500
9600/45500 (epoch 10), train_loss = 4.418, time/batch = 6.500
9650/45500 (epoch 10), train_loss = 4.391, time/batch = 6.458
9700/45500 (epoch 10), train_loss = 4.259, time/batch = 6.459
9750/45500 (epoch 10), train_loss = 4.292, time/batch = 6.458
9800/45500 (epoch 10), train_loss = 4.280, time/batch = 6.465
9850/45500 (epoch 10), train_loss = 4.283, time/batch = 6.484
9900/45500 (epoch 10), train_loss = 4.509, time/batch = 6.427
9950/45500 (epoch 10), train_loss = 4.252, time/batch = 6.429
10000/45500 (epoch 10), train_loss = 4.230, time/batch = 6.450
model saved to save/model.ckpt
10050/45500 (epoch 11), train_loss = 4.305, time/batch = 6.467
10100/45500 (epoch 11), train_loss = 4.346, time/batch = 6.484
10150/45500 (epoch 11), train_loss = 4.179, time/batch = 6.505
10200/45500 (epoch 11), train_loss = 4.400, time/batch = 6.465
10250/45500 (epoch 11), train_loss = 4.213, time/batch = 6.489
10300/45500 (epoch 11), train_loss = 4.471, time/batch = 6.447
10350/45500 (epoch 11), train_loss = 4.217, time/batch = 6.465
10400/45500 (epoch 11), train_loss = 4.175, time/batch = 6.488
10450/45500 (epoch 11), train_loss = 4.163, time/batch = 6.891
10500/45500 (epoch 11), train_loss = 4.117, time/batch = 6.313
10550/45500 (epoch 11), train_loss = 4.059, time/batch = 6.648
10600/45500 (epoch 11), train_loss = 4.019, time/batch = 6.384
10650/45500 (epoch 11), train_loss = 3.905, time/batch = 6.344
10700/45500 (epoch 11), train_loss = 4.121, time/batch = 6.329
10750/45500 (epoch 11), train_loss = 4.049, time/batch = 6.360
10800/45500 (epoch 11), train_loss = 4.063, time/batch = 6.370
10850/45500 (epoch 11), train_loss = 3.989, time/batch = 6.484
10900/45500 (epoch 11), train_loss = 3.857, time/batch = 6.337
10950/45500 (epoch 12), train_loss = 4.028, time/batch = 6.421
11000/45500 (epoch 12), train_loss = 4.041, time/batch = 6.471
model saved to save/model.ckpt
11050/45500 (epoch 12), train_loss = 3.989, time/batch = 6.487
11100/45500 (epoch 12), train_loss = 3.982, time/batch = 6.529
11150/45500 (epoch 12), train_loss = 3.846, time/batch = 6.827
11200/45500 (epoch 12), train_loss = 4.139, time/batch = 6.823
11250/45500 (epoch 12), train_loss = 3.934, time/batch = 6.533
11300/45500 (epoch 12), train_loss = 3.784, time/batch = 6.560
11350/45500 (epoch 12), train_loss = 3.875, time/batch = 6.581
11400/45500 (epoch 12), train_loss = 3.606, time/batch = 6.627
11450/45500 (epoch 12), train_loss = 3.848, time/batch = 6.969
11500/45500 (epoch 12), train_loss = 3.889, time/batch = 7.022
11550/45500 (epoch 12), train_loss = 3.243, time/batch = 6.978
11600/45500 (epoch 12), train_loss = 3.798, time/batch = 6.995
11650/45500 (epoch 12), train_loss = 3.731, time/batch = 7.084
11700/45500 (epoch 12), train_loss = 3.900, time/batch = 6.692
11750/45500 (epoch 12), train_loss = 3.822, time/batch = 6.772
11800/45500 (epoch 12), train_loss = 3.969, time/batch = 6.608
11850/45500 (epoch 13), train_loss = 3.920, time/batch = 6.826
11900/45500 (epoch 13), train_loss = 4.025, time/batch = 6.193
11950/45500 (epoch 13), train_loss = 3.984, time/batch = 6.235
12000/45500 (epoch 13), train_loss = 3.631, time/batch = 6.181
model saved to save/model.ckpt
12050/45500 (epoch 13), train_loss = 4.097, time/batch = 6.478
12100/45500 (epoch 13), train_loss = 3.909, time/batch = 6.465
12150/45500 (epoch 13), train_loss = 3.962, time/batch = 6.329
12200/45500 (epoch 13), train_loss = 3.902, time/batch = 6.269
12250/45500 (epoch 13), train_loss = 3.539, time/batch = 6.363
12300/45500 (epoch 13), train_loss = 3.675, time/batch = 6.294
12350/45500 (epoch 13), train_loss = 3.822, time/batch = 6.631
12400/45500 (epoch 13), train_loss = 3.630, time/batch = 6.683
12450/45500 (epoch 13), train_loss = 3.314, time/batch = 6.668
12500/45500 (epoch 13), train_loss = 3.698, time/batch = 6.680
12550/45500 (epoch 13), train_loss = 3.670, time/batch = 6.748
12600/45500 (epoch 13), train_loss = 3.898, time/batch = 6.753
12650/45500 (epoch 13), train_loss = 3.659, time/batch = 6.802
12700/45500 (epoch 13), train_loss = 3.621, time/batch = 6.871
12750/45500 (epoch 14), train_loss = 3.498, time/batch = 6.799
12800/45500 (epoch 14), train_loss = 3.822, time/batch = 6.818
12850/45500 (epoch 14), train_loss = 3.943, time/batch = 6.824
12900/45500 (epoch 14), train_loss = 3.398, time/batch = 6.912
12950/45500 (epoch 14), train_loss = 3.750, time/batch = 6.894
13000/45500 (epoch 14), train_loss = 3.850, time/batch = 6.855
model saved to save/model.ckpt
13050/45500 (epoch 14), train_loss = 3.642, time/batch = 6.914
13100/45500 (epoch 14), train_loss = 3.601, time/batch = 6.948
13150/45500 (epoch 14), train_loss = 3.670, time/batch = 6.953
13200/45500 (epoch 14), train_loss = 3.428, time/batch = 7.073
13250/45500 (epoch 14), train_loss = 3.908, time/batch = 7.023
13300/45500 (epoch 14), train_loss = 3.712, time/batch = 7.090
13350/45500 (epoch 14), train_loss = 3.507, time/batch = 7.020
13400/45500 (epoch 14), train_loss = 3.392, time/batch = 7.086
13450/45500 (epoch 14), train_loss = 3.838, time/batch = 6.459
13500/45500 (epoch 14), train_loss = 3.463, time/batch = 6.438
13550/45500 (epoch 14), train_loss = 3.645, time/batch = 6.471
13600/45500 (epoch 14), train_loss = 3.722, time/batch = 6.507
13650/45500 (epoch 15), train_loss = 3.426, time/batch = 6.456
13700/45500 (epoch 15), train_loss = 3.805, time/batch = 6.463
13750/45500 (epoch 15), train_loss = 3.522, time/batch = 6.448
13800/45500 (epoch 15), train_loss = 3.396, time/batch = 6.463
13850/45500 (epoch 15), train_loss = 3.678, time/batch = 6.487
13900/45500 (epoch 15), train_loss = 3.719, time/batch = 6.485
13950/45500 (epoch 15), train_loss = 3.517, time/batch = 6.450
14000/45500 (epoch 15), train_loss = 3.493, time/batch = 6.449
model saved to save/model.ckpt
14050/45500 (epoch 15), train_loss = 3.501, time/batch = 6.476
14100/45500 (epoch 15), train_loss = 3.549, time/batch = 6.470
14150/45500 (epoch 15), train_loss = 3.535, time/batch = 6.517
14200/45500 (epoch 15), train_loss = 3.682, time/batch = 6.476
14250/45500 (epoch 15), train_loss = 3.415, time/batch = 6.459
14300/45500 (epoch 15), train_loss = 3.497, time/batch = 6.458
14350/45500 (epoch 15), train_loss = 3.527, time/batch = 6.473
14400/45500 (epoch 15), train_loss = 3.463, time/batch = 6.443
14450/45500 (epoch 15), train_loss = 3.837, time/batch = 6.438
14500/45500 (epoch 15), train_loss = 3.533, time/batch = 6.450
14550/45500 (epoch 15), train_loss = 3.608, time/batch = 6.516
14600/45500 (epoch 16), train_loss = 3.579, time/batch = 6.512
14650/45500 (epoch 16), train_loss = 3.611, time/batch = 6.497
14700/45500 (epoch 16), train_loss = 3.538, time/batch = 6.518
14750/45500 (epoch 16), train_loss = 3.651, time/batch = 6.516
14800/45500 (epoch 16), train_loss = 3.523, time/batch = 6.501
14850/45500 (epoch 16), train_loss = 3.720, time/batch = 6.464
14900/45500 (epoch 16), train_loss = 3.350, time/batch = 6.462
14950/45500 (epoch 16), train_loss = 3.507, time/batch = 6.195
15000/45500 (epoch 16), train_loss = 3.508, time/batch = 6.285
model saved to save/model.ckpt
15050/45500 (epoch 16), train_loss = 3.363, time/batch = 6.217
15100/45500 (epoch 16), train_loss = 3.387, time/batch = 6.222
15150/45500 (epoch 16), train_loss = 3.412, time/batch = 6.483
15200/45500 (epoch 16), train_loss = 3.215, time/batch = 6.470
15250/45500 (epoch 16), train_loss = 3.515, time/batch = 6.480
15300/45500 (epoch 16), train_loss = 3.414, time/batch = 6.490
15350/45500 (epoch 16), train_loss = 3.408, time/batch = 6.447
15400/45500 (epoch 16), train_loss = 3.321, time/batch = 6.484
15450/45500 (epoch 16), train_loss = 3.240, time/batch = 6.451
15500/45500 (epoch 17), train_loss = 3.392, time/batch = 6.444
15550/45500 (epoch 17), train_loss = 3.295, time/batch = 6.523
15600/45500 (epoch 17), train_loss = 3.476, time/batch = 6.460
15650/45500 (epoch 17), train_loss = 3.284, time/batch = 6.437
15700/45500 (epoch 17), train_loss = 3.259, time/batch = 6.469
15750/45500 (epoch 17), train_loss = 3.566, time/batch = 6.436
15800/45500 (epoch 17), train_loss = 3.223, time/batch = 6.459
15850/45500 (epoch 17), train_loss = 3.119, time/batch = 6.480
15900/45500 (epoch 17), train_loss = 3.344, time/batch = 6.452
15950/45500 (epoch 17), train_loss = 2.965, time/batch = 6.488
16000/45500 (epoch 17), train_loss = 3.206, time/batch = 6.442
model saved to save/model.ckpt
16050/45500 (epoch 17), train_loss = 3.297, time/batch = 6.478
16100/45500 (epoch 17), train_loss = 2.614, time/batch = 6.503
16150/45500 (epoch 17), train_loss = 3.149, time/batch = 6.478
16200/45500 (epoch 17), train_loss = 3.178, time/batch = 6.471
16250/45500 (epoch 17), train_loss = 3.269, time/batch = 6.493
16300/45500 (epoch 17), train_loss = 3.340, time/batch = 6.507
16350/45500 (epoch 17), train_loss = 3.406, time/batch = 6.502
16400/45500 (epoch 18), train_loss = 3.288, time/batch = 6.512
16450/45500 (epoch 18), train_loss = 3.457, time/batch = 6.515
16500/45500 (epoch 18), train_loss = 3.524, time/batch = 6.519
16550/45500 (epoch 18), train_loss = 2.971, time/batch = 6.515
16600/45500 (epoch 18), train_loss = 3.563, time/batch = 6.478
16650/45500 (epoch 18), train_loss = 3.288, time/batch = 6.477
16700/45500 (epoch 18), train_loss = 3.479, time/batch = 6.476
16750/45500 (epoch 18), train_loss = 3.346, time/batch = 6.469
16800/45500 (epoch 18), train_loss = 2.943, time/batch = 6.471
16850/45500 (epoch 18), train_loss = 3.146, time/batch = 6.442
16900/45500 (epoch 18), train_loss = 3.352, time/batch = 6.465
16950/45500 (epoch 18), train_loss = 3.116, time/batch = 6.500
17000/45500 (epoch 18), train_loss = 2.720, time/batch = 6.469
model saved to save/model.ckpt
17050/45500 (epoch 18), train_loss = 3.099, time/batch = 6.479
17100/45500 (epoch 18), train_loss = 3.133, time/batch = 6.474
17150/45500 (epoch 18), train_loss = 3.390, time/batch = 6.494
17200/45500 (epoch 18), train_loss = 3.150, time/batch = 6.512
17250/45500 (epoch 18), train_loss = 3.116, time/batch = 6.443
17300/45500 (epoch 19), train_loss = 2.996, time/batch = 6.469
17350/45500 (epoch 19), train_loss = 3.348, time/batch = 6.517
17400/45500 (epoch 19), train_loss = 3.495, time/batch = 6.498
17450/45500 (epoch 19), train_loss = 2.983, time/batch = 6.489
17500/45500 (epoch 19), train_loss = 3.302, time/batch = 6.445
17550/45500 (epoch 19), train_loss = 3.367, time/batch = 6.451
17600/45500 (epoch 19), train_loss = 3.152, time/batch = 6.447
17650/45500 (epoch 19), train_loss = 3.065, time/batch = 6.457
17700/45500 (epoch 19), train_loss = 3.213, time/batch = 6.523
17750/45500 (epoch 19), train_loss = 3.024, time/batch = 6.459
17800/45500 (epoch 19), train_loss = 3.412, time/batch = 6.492
17850/45500 (epoch 19), train_loss = 3.186, time/batch = 6.450
17900/45500 (epoch 19), train_loss = 3.002, time/batch = 6.460
17950/45500 (epoch 19), train_loss = 2.915, time/batch = 6.512
18000/45500 (epoch 19), train_loss = 3.368, time/batch = 6.550
model saved to save/model.ckpt
18050/45500 (epoch 19), train_loss = 3.007, time/batch = 6.508
18100/45500 (epoch 19), train_loss = 3.145, time/batch = 6.529
18150/45500 (epoch 19), train_loss = 3.248, time/batch = 6.529
18200/45500 (epoch 20), train_loss = 2.799, time/batch = 6.523
18250/45500 (epoch 20), train_loss = 3.354, time/batch = 6.536
18300/45500 (epoch 20), train_loss = 3.053, time/batch = 6.486
18350/45500 (epoch 20), train_loss = 2.968, time/batch = 6.425
18400/45500 (epoch 20), train_loss = 3.299, time/batch = 6.452
18450/45500 (epoch 20), train_loss = 3.326, time/batch = 6.468
18500/45500 (epoch 20), train_loss = 3.025, time/batch = 6.868
18550/45500 (epoch 20), train_loss = 2.955, time/batch = 6.499
18600/45500 (epoch 20), train_loss = 3.037, time/batch = 6.504
18650/45500 (epoch 20), train_loss = 3.072, time/batch = 6.516
18700/45500 (epoch 20), train_loss = 3.052, time/batch = 6.499
18750/45500 (epoch 20), train_loss = 3.214, time/batch = 6.456
18800/45500 (epoch 20), train_loss = 3.001, time/batch = 6.434
18850/45500 (epoch 20), train_loss = 3.030, time/batch = 6.435
18900/45500 (epoch 20), train_loss = 3.111, time/batch = 6.483
18950/45500 (epoch 20), train_loss = 3.018, time/batch = 6.466
19000/45500 (epoch 20), train_loss = 3.417, time/batch = 6.451
model saved to save/model.ckpt
19050/45500 (epoch 20), train_loss = 3.145, time/batch = 6.481
19100/45500 (epoch 20), train_loss = 3.201, time/batch = 6.449
19150/45500 (epoch 21), train_loss = 3.142, time/batch = 6.466
19200/45500 (epoch 21), train_loss = 3.131, time/batch = 6.474
19250/45500 (epoch 21), train_loss = 3.134, time/batch = 6.451
19300/45500 (epoch 21), train_loss = 3.212, time/batch = 6.452
19350/45500 (epoch 21), train_loss = 3.161, time/batch = 6.466
19400/45500 (epoch 21), train_loss = 3.362, time/batch = 6.483
19450/45500 (epoch 21), train_loss = 2.901, time/batch = 6.450
19500/45500 (epoch 21), train_loss = 3.071, time/batch = 6.472
19550/45500 (epoch 21), train_loss = 3.127, time/batch = 6.470
19600/45500 (epoch 21), train_loss = 2.924, time/batch = 6.461
19650/45500 (epoch 21), train_loss = 2.973, time/batch = 6.502
19700/45500 (epoch 21), train_loss = 3.042, time/batch = 6.439
19750/45500 (epoch 21), train_loss = 2.820, time/batch = 6.512
19800/45500 (epoch 21), train_loss = 3.061, time/batch = 6.485
19850/45500 (epoch 21), train_loss = 3.031, time/batch = 6.499
19900/45500 (epoch 21), train_loss = 3.003, time/batch = 6.519
19950/45500 (epoch 21), train_loss = 2.937, time/batch = 6.485
20000/45500 (epoch 21), train_loss = 2.897, time/batch = 6.511
model saved to save/model.ckpt
20050/45500 (epoch 22), train_loss = 3.001, time/batch = 6.516
20100/45500 (epoch 22), train_loss = 2.863, time/batch = 6.503
20150/45500 (epoch 22), train_loss = 3.119, time/batch = 6.463
20200/45500 (epoch 22), train_loss = 2.897, time/batch = 6.481
20250/45500 (epoch 22), train_loss = 2.859, time/batch = 6.438
20300/45500 (epoch 22), train_loss = 3.209, time/batch = 6.472
20350/45500 (epoch 22), train_loss = 2.879, time/batch = 6.435
20400/45500 (epoch 22), train_loss = 2.712, time/batch = 6.452
20450/45500 (epoch 22), train_loss = 2.944, time/batch = 6.462
20500/45500 (epoch 22), train_loss = 2.598, time/batch = 6.500
20550/45500 (epoch 22), train_loss = 2.815, time/batch = 6.490
20600/45500 (epoch 22), train_loss = 2.870, time/batch = 6.483
20650/45500 (epoch 22), train_loss = 2.239, time/batch = 6.428
20700/45500 (epoch 22), train_loss = 2.746, time/batch = 6.459
